Actual,Predicted
4155.92,4155.919999999999
1976.24,1976.239999999998
3283.94,3283.9399999999987
3875.97,3875.970000000004
7966.21,7966.210000000002
1444.72,1444.7200000000023
9202.06,9202.059999999996
3120.41,3120.4100000000008
4898.56,4898.559999999999
520.44,520.4399999999987
6386.11,6386.109999999997
1625.59,1625.590000000003
8004.280000000001,8004.28
1482.18,1482.1799999999987
1378.5,1378.4999999999982
2954.13,2954.1300000000037
894.44,894.4400000000023
2349.01,2349.009999999999
3250.96,3250.9600000000037
2547.9500000000003,2547.9500000000003
2096.48,2096.4800000000005
7656.21,7656.21
2533.26,2533.2600000000034
3379.32,3379.320000000001
1529.55,1529.5500000000009
5912.86,5912.860000000001
5614.55,5614.550000000001
561.73,561.7300000000014
6291.28,6291.279999999997
3470.27,3470.270000000003
238.93,238.93000000000256
1805.9,1805.9000000000017
5621.88,5621.88
960.32,960.3200000000006
1348.64,1348.6399999999994
4727.530000000001,4727.530000000002
1572.82,1572.8199999999997
2697.28,2697.2799999999997
2359.23,2359.2299999999987
238.16,238.16000000000167
750.0,749.9999999999995
7173.36,7173.3600000000015
927.92,927.9200000000005
3851.2,3851.199999999998
1689.66,1689.6600000000024
2848.15,2848.1500000000005
8448.3,8448.299999999994
1059.16,1059.160000000003
282.21,282.2100000000014
247.03,247.02999999999975
3082.12,3082.12
3145.64,3145.6399999999976
5068.98,5068.979999999998
3638.8,3638.8
5504.87,5504.87
7898.46,7898.459999999997
2488.78,2488.7799999999957
6068.88,6068.879999999997
2512.5600000000004,2512.56
2374.6,2374.599999999999
4113.21,4113.209999999997
9277.61,9277.609999999999
239.94,239.93999999999915
543.96,543.9599999999996
1435.58,1435.5800000000033
5749.49,5749.49
2401.77,2401.7700000000004
3206.11,3206.110000000002
1700.78,1700.7800000000009
7964.179999999999,7964.18
4672.34,4672.34
6373.91,6373.909999999998
3723.26,3723.259999999998
3438.71,3438.710000000003
6838.08,6838.080000000001
825.0600000000001,825.059999999999
3711.68,3711.68
491.76,491.76000000000204
4301.39,4301.389999999999
7988.59,7988.589999999999
11491.57,11491.569999999996
2559.64,2559.6400000000003
2555.44,2555.440000000003
910.11,910.1100000000033
1423.97,1423.9700000000018
519.84,519.840000000001
4326.66,4326.660000000003
1569.04,1569.04
2470.3,2470.2999999999993
2272.86,2272.859999999999
3540.75,3540.750000000004
2731.25,2731.250000000001
4766.17,4766.170000000001
3806.94,3806.9400000000005
7120.71,7120.709999999997
361.18,361.180000000003
2533.7200000000003,2533.7199999999993
988.12,988.119999999999
819.56,819.5599999999995
3247.72,3247.7199999999993
5538.33,5538.329999999998
1762.85,1762.8500000000029
2965.77,2965.7699999999977
1457.53,1457.5300000000002
6919.95,6919.949999999999
1838.0,1838.0000000000002
2470.3,2470.2999999999984
256.6,256.599999999999
